"Question","Response"
"Were there any good suggestions given by the participants?","Students doing so good"
"Were there any good suggestions given by the participants?","Not any"
"Were there any good suggestions given by the participants?","Not any"
"Were there any good suggestions given by the participants?","Not any"
"Were there any good suggestions given by the participants?","Not any"
"Were there any good suggestions given by the participants?","Grammar "
"Were there any good suggestions given by the participants?","Not any"
"Were there any good suggestions given by the participants?","Not any"
"Were there any good suggestions given by the participants?","Not any"
"Were there any good suggestions given by the participants?","Not any"
"Were there any good suggestions given by the participants?","Teachers hard working "
"Were there any good suggestions given by the participants?","Not any"
"Were there any good suggestions given by the participants?","Not any"
"Were there any good suggestions given by the participants?","Personal attention should be given."
"Were there any good suggestions given by the participants?","Not any"
"Were there any good suggestions given by the participants?","Not any"
"Were there any good suggestions given by the participants?","Ok"
"Were there any good suggestions given by the participants?","Yes."
"Were there any good suggestions given by the participants?","Planned extra class curriculum"
"Were there any good suggestions given by the participants?","Tea "
"Were there any good suggestions given by the participants?","Not any"
"Were there any good suggestions given by the participants?","Not any"
"Were there any good suggestions given by the participants?","Keep motivating students for mission 100%."
"Were there any good suggestions given by the participants?","Not any"
"Were there any good suggestions given by the participants?","Not any"
"Were there any good suggestions given by the participants?","Not any"
"Were there any good suggestions given by the participants?","Not any"
"Were there any good suggestions given by the participants?","Not any"
"Were there any good suggestions given by the participants?","Not any"
"Were there any good suggestions given by the participants?","Not any"
"Were there any good suggestions given by the participants?","Not any"
"Were there any good suggestions given by the participants?","Grammar works "
"Were there any good suggestions given by the participants?","revision with the help of test"
"Were there any good suggestions given by the participants?","Not any"
"Were there any good suggestions given by the participants?","Not any"
"Were there any good suggestions given by the participants?","Paper "
"Were there any good suggestions given by the participants?","Not any"
"Were there any good suggestions given by the participants?","Not any"
"Were there any good suggestions given by the participants?","Not any"
"Were there any good suggestions given by the participants?","Not any"
"Were there any good suggestions given by the participants?","Yrs about activity sci"
"Were there any good suggestions given by the participants?","participants are satisfied"
"Were there any good suggestions given by the participants?","Participants are satisfied"
"Were there any good suggestions given by the participants?","Yes,we can do better"
"Were there any good suggestions given by the participants?","Improve the punjabi language"
"Were there any good suggestions given by the participants?","Yes"
"Were there any good suggestions given by the participants?","Refreshing activities "
"Were there any good suggestions given by the participants?","Yes"
"Were there any good suggestions given by the participants?","When we take feedback"
"Were there any good suggestions given by the participants?","They are all satisfied"
"Were there any good suggestions given by the participants?","Yes"
"Were there any good suggestions given by the participants?","Yes"
"Were there any good suggestions given by the participants?","yes"
"Were there any good suggestions given by the participants?","Yes"
"Were there any good suggestions given by the participants?","There should be trainings like this"
"Were there any good suggestions given by the participants?","Nothing"
